text,cleaned_text,prediction,correct_label,timestamp
I am having trouble with the side bar on the web portal.,I am having trouble with the side bar on the web portal.,Information,Problem,2026-04-10T00:25:32.903015
I am unable to receive a confirmation message for my registration.,I am unable to receive a confirmation message for my registration.,Information,Problem,2026-04-10T00:25:32.905943
I am unable to access the training materials on the website.,I am unable to access the training materials on the website.,Request,Problem,2026-04-10T00:25:32.909613
I am having trouble with the extension integration on the portal.,I am having trouble with the extension integration on the portal.,Information,Problem,2026-04-10T00:25:32.912483
I am unable to receive any newsletters from your company.,I am unable to receive any newsletters from your company.,Information,Problem,2026-04-10T00:25:32.915396
I am unable to see the user reviews for the product on the website.,I am unable to see the user reviews for the product on the website.,Request,Information,2026-04-10T00:25:32.918944
I am unable to receive a link for password recovery on my email.,I am unable to receive a link for password recovery on my email.,Request,Problem,2026-04-10T00:25:32.922596
I am having trouble with the word count on the comment section.,I am having trouble with the word count on the comment section.,Information,Problem,2026-04-10T00:25:32.925518
I am unable to access the news section on the website.,I am unable to access the news section on the website.,Request,Problem,2026-04-10T00:25:32.928827
I am having trouble with the terms and conditions page on the mobile app.,I am having trouble with the terms and conditions page on the mobile app.,Problem,Information,2026-04-10T00:25:32.933269
I am unable to navigate between pages on the website.,I am unable to navigate between pages on the website.,Request,Problem,2026-04-10T00:25:32.937649
I am having trouble with the conversation history feature.,I am having trouble with the conversation history feature.,Information,Problem,2026-04-10T00:25:32.941023
I am having trouble with the verification link on my phone.,I am having trouble with the verification link on my phone.,Request,Problem,2026-04-10T00:25:32.944734
I am unable to recover my account after several attempts.,I am unable to recover my account after several attempts.,Request,Problem,2026-04-10T00:25:32.947662
I am having trouble with the delivery estimation feature.,I am having trouble with the delivery estimation feature.,Information,Problem,2026-04-10T00:25:32.950596
I am unable to customize my profile on the portal.,I am unable to customize my profile on the portal.,Problem,Request,2026-04-10T00:25:32.953496
I am having trouble with the help section on the website.,I am having trouble with the help section on the website.,Request,Problem,2026-04-10T00:25:32.956392
I am unable to navigate the web portal due to its design.,I am unable to navigate the web portal due to its design.,Information,Problem,2026-04-10T00:25:32.960756
I am having trouble with the product rating system on the website.,I am having trouble with the product rating system on the website.,Request,Problem,2026-04-10T00:25:32.963736
I am having trouble with the purchase confirmation process.,I am having trouble with the purchase confirmation process.,Information,Problem,2026-04-10T00:25:32.967376
I am unable to submit feedback through the portal.,I am unable to submit feedback through the portal.,Information,Problem,2026-04-10T00:25:32.970274
I am having trouble with the user forum on the website.,I am having trouble with the user forum on the website.,Request,Problem,2026-04-10T00:25:32.973216
I am unable to play videos on the website.,I am unable to play videos on the website.,Request,Problem,2026-04-10T00:25:32.979059
I am unable to view my wallet balance.,I am unable to view my wallet balance.,Request,Information,2026-04-10T00:25:32.982933
I am unable to read the privacy policy on the website.,I am unable to read the privacy policy on the website.,Request,Information,2026-04-10T00:25:32.986634
I am unable to get a response from your support team.,I am unable to get a response from your support team.,Information,Problem,2026-04-10T00:25:32.990618
I am having trouble with the keyboard shortcuts on the portal.,I am having trouble with the keyboard shortcuts on the portal.,Information,Problem,2026-04-10T00:25:32.993625
I am unable to use a gift card for my transaction.,I am unable to use a gift card for my transaction.,Request,Problem,2026-04-10T00:25:32.996649
I am having trouble with the filtering options on the web portal.,I am having trouble with the filtering options on the web portal.,Information,Problem,2026-04-10T00:25:33.001087
I am unable to receive the verification email for my account.,I am unable to receive the verification email for my account.,Request,Problem,2026-04-10T00:25:33.004213
I am unable to access the help documentation on the website.,I am unable to access the help documentation on the website.,Request,Information,2026-04-10T00:25:33.009406
I am unable to receive notifications for system updates.,I am unable to receive notifications for system updates.,Information,Problem,2026-04-10T00:25:33.013124
I am having trouble with the file download tool on the portal.,I am having trouble with the file download tool on the portal.,Information,Problem,2026-04-10T00:25:33.016177
I am unable to see the detailed product description on the website.,I am unable to see the detailed product description on the website.,Request,Information,2026-04-10T00:25:33.019148
I am unable to access the live support chat on the website.,I am unable to access the live support chat on the website.,Information,Problem,2026-04-10T00:25:33.023175
I am having trouble with the cross-browser compatibility on the portal.,I am having trouble with the cross-browser compatibility on the portal.,Information,Problem,2026-04-10T00:25:33.026374
I am unable to receive any promotional deals via email.,I am unable to receive any promotional deals via email.,Request,Problem,2026-04-10T00:25:33.029371
I am having trouble with the navigation menu on the web portal.,I am having trouble with the navigation menu on the web portal.,Information,Problem,2026-04-10T00:25:33.033872
I am unable to receive a confirmation message for my account registration.,I am unable to receive a confirmation message for my account registration.,Request,Problem,2026-04-10T00:25:33.037093
I am unable to access the training videos on the website.,I am unable to access the training videos on the website.,Request,Problem,2026-04-10T00:25:33.040871
I am having trouble with the third-party extension integration.,I am having trouble with the third-party extension integration.,Information,Problem,2026-04-10T00:25:33.043899
I am unable to receive any newsletters from your company.,I am unable to receive any newsletters from your company.,Information,Problem,2026-04-10T00:25:33.046932
I am having trouble with the word count limit on comments.,I am having trouble with the word count limit on comments.,Information,Problem,2026-04-10T00:25:33.053062
I am unable to access the news archive on the website.,I am unable to access the news archive on the website.,Request,Problem,2026-04-10T00:25:33.056265
I am unable to see the taxes and service fees for my order.,I am unable to see the taxes and service fees for my order.,Request,Information,2026-04-10T00:25:33.060080
I am having trouble with the terms and conditions on the mobile app.,I am having trouble with the terms and conditions on the mobile app.,Problem,Information,2026-04-10T00:25:33.063140
I am unable to change the font color settings on the web portal.,I am unable to change the font color settings on the web portal.,Problem,Request,2026-04-10T00:25:33.066349
I am unable to navigate between different pages on the website.,I am unable to navigate between different pages on the website.,Request,Problem,2026-04-10T00:25:33.070342
I am having trouble with the chat history search feature.,I am having trouble with the chat history search feature.,Information,Problem,2026-04-10T00:25:33.073806
I am unable to export my account data from the mobile app.,I am unable to export my account data from the mobile app.,Request,Problem,2026-04-10T00:25:33.077012
I am having trouble with the verification link sent to my phone.,I am having trouble with the verification link sent to my phone.,Request,Problem,2026-04-10T00:25:33.080059
I am unable to recover my account after multiple attempts.,I am unable to recover my account after multiple attempts.,Request,Problem,2026-04-10T00:25:33.083106
I am unable to customize my profile details on the portal.,I am unable to customize my profile details on the portal.,Problem,Request,2026-04-10T00:25:33.086944
I am having trouble with the help and support section on the website.,I am having trouble with the help and support section on the website.,Information,Problem,2026-04-10T00:25:33.090091
I am having trouble with the SMS notification system.,I am having trouble with the SMS notification system.,Information,Problem,2026-04-10T00:25:33.093946
I am unable to navigate the web portal effectively.,I am unable to navigate the web portal effectively.,Information,Problem,2026-04-10T00:25:33.097050
I am having trouble with the product rating feature.,I am having trouble with the product rating feature.,Information,Problem,2026-04-10T00:25:33.100440
I am having trouble with the purchase confirmation email.,I am having trouble with the purchase confirmation email.,Request,Problem,2026-04-10T00:25:33.104473
I am unable to submit my feedback through the portal.,I am unable to submit my feedback through the portal.,Information,Problem,2026-04-10T00:25:33.107637
I am having trouble with the community forum on the website.,I am having trouble with the community forum on the website.,Request,Problem,2026-04-10T00:25:33.110758
I am unable to play the tutorial videos on the website.,I am unable to play the tutorial videos on the website.,Request,Problem,2026-04-10T00:25:33.116914
I am having trouble with the notification preferences for my account.,I am having trouble with the notification preferences for my account.,Request,Problem,2026-04-10T00:25:33.120736
I am unable to see the current balance in my wallet.,I am unable to see the current balance in my wallet.,Request,Information,2026-04-10T00:25:33.124586
I am unable to read the privacy policy document on the website.,I am unable to read the privacy policy document on the website.,Request,Information,2026-04-10T00:25:33.129302
I am unable to get a timely response from your support team.,I am unable to get a timely response from your support team.,Information,Problem,2026-04-10T00:25:33.133350
I am having trouble with the keyboard shortcut configuration.,I am having trouble with the keyboard shortcut configuration.,Information,Problem,2026-04-10T00:25:33.136565
I am unable to use my gift card for this transaction.,I am unable to use my gift card for this transaction.,Request,Problem,2026-04-10T00:25:33.140204
I am having trouble with the filtering criteria on the web portal.,I am having trouble with the filtering criteria on the web portal.,Information,Problem,2026-04-10T00:25:33.144950
I am unable to receive the verification email for my new account.,I am unable to receive the verification email for my new account.,Request,Problem,2026-04-10T00:25:33.148174
I am having trouble with the dark mode toggle on the website.,I am having trouble with the dark mode toggle on the website.,Request,Problem,2026-04-10T00:25:33.151352
I am having trouble with the file attachment feature on the portal.,I am having trouble with the file attachment feature on the portal.,Information,Problem,2026-04-10T00:25:33.155304
I am having trouble with the captcha on the sign-up page.,I am having trouble with the captcha on the sign-up page.,Information,Problem,2026-04-10T00:25:33.159197
I am having trouble with the file export feature on the portal.,I am having trouble with the file export feature on the portal.,Information,Problem,2026-04-10T00:25:33.163267
I am unable to access the live chat representative.,I am unable to access the live chat representative.,Information,Problem,2026-04-10T00:25:33.168012
I am having trouble with the browser support for the portal.,I am having trouble with the browser support for the portal.,Information,Problem,2026-04-10T00:25:33.171483
I am unable to receive any special offers via email.,I am unable to receive any special offers via email.,Request,Problem,2026-04-10T00:25:33.175110
I am unable to find the email address for support.,I am unable to find the email address for support.,Request,Information,2026-04-10T00:25:33.179064
I am having trouble with the navigation bar on the web portal.,I am having trouble with the navigation bar on the web portal.,Information,Problem,2026-04-10T00:25:33.182311
I am unable to receive a confirmation for my subscription.,I am unable to receive a confirmation for my subscription.,Request,Problem,2026-04-10T00:25:33.185570
I am unable to access the webinar section on the website.,I am unable to access the webinar section on the website.,Request,Problem,2026-04-10T00:25:33.189733
I am unable to receive any marketing emails.,I am unable to receive any marketing emails.,Information,Problem,2026-04-10T00:25:33.193973
I am having trouble with the character limit on the support form.,I am having trouble with the character limit on the support form.,Information,Problem,2026-04-10T00:25:33.200289
I am unable to access the press release section on the website.,I am unable to access the press release section on the website.,Request,Problem,2026-04-10T00:25:33.203843
I am having trouble with the notification system for new alerts.,I am having trouble with the notification system for new alerts.,Information,Problem,2026-04-10T00:25:33.210040
I am unable to switch between tabs on the website.,I am unable to switch between tabs on the website.,Request,Problem,2026-04-10T00:25:33.213377
I am having trouble with the message history feature.,I am having trouble with the message history feature.,Information,Problem,2026-04-10T00:25:33.216722
I am unable to download my profile information.,I am unable to download my profile information.,Problem,Request,2026-04-10T00:25:33.220053
I am having trouble with the SMS verification code.,I am having trouble with the SMS verification code.,Information,Problem,2026-04-10T00:25:33.223891
