messages,label
Add the HBO and Disney+ bundle to my television package starting tomorrow.,Request
Can someone inspect my router's power adapter? It's making a strange buzzing noi...,Request
Change my Wi-Fi SSID to 'Home_Private_Network' and disable the broadcast.,Request
Register an additional internet line for my home office using the same account n...,Request
Forward a digital copy of the latest billing statement to my corporate email.,Request
Ship three units of Wi-Fi mesh extenders to my home address as soon as possible.,Request
Deactivate the 'Gaming Booster' add-on before the next billing cycle starts.,Request
Reactivate my internet service now that the outstanding balance is fully settled...,Request
Replace the loose fiber optic socket on my living room wall.,Request
Switch my monthly payment method from bank transfer to automatic credit card deb...,Request
Upgrade my current modem to the newest Wi-Fi 6 model to improve coverage.,Request
Issue a formal letter of clearance for my account closure for legal purposes.,Request
Set up a brand new fiber installation at my villa address in Bali.,Request
Configure the DMZ settings on my gateway so I can host a gaming server.,Request
Replace the snapped fiber connector as soon as a technician is available.,Request
Update the registered billing address to my new apartment in Central Jakarta.,Request
Suspend my subscription for exactly 90 days while I am working overseas.,Request
Apply the 'PROMO2026' discount code to my monthly bill starting now.,Request
Enable the guest network feature on my router with a dedicated speed limit.,Request
Assign a technician to help with the STB installation in my guest bedroom.,Request
Whitelist these specific MAC addresses for my new home security cameras.,Request
Redeem my loyalty points for a temporary one-month speed boost.,Request
Mail a physical copy of my service agreement to my registered office address.,Request
Downgrade my current plan to the basic 30mbps starter tier.,Request
Transfer the ownership of this account to my spouse's legal name.,Request
Conduct a professional signal strength survey for my three-story residence.,Request
Install the latest firmware patch on my ONT to fix the security bugs.,Request
Activate the 'Static IP' add-on for my remote work VPN requirements.,Request
Generate a detailed data usage report for each device on my network.,Request
Move my technician appointment from Monday to Thursday afternoon.,Request
Remove the 'International News' pack from my cable TV channel lineup.,Request
Change my primary contact phone number in the customer database.,Request
Help me set up network-level parental controls for my children's devices.,Request
Inspect the outdoor junction box for any possible signal interference.,Request
Enable international roaming data for the mobile account linked to this fiber.,Request
Process a refund for the seven days when the service was completely offline.,Request
Text the technician's name and photo to my WhatsApp before they arrive.,Request
Switch my billing to the annual upfront plan for a better discount.,Request
Bridge my ISP modem so I can use my own custom ASUS router.,Request
Add a 100GB 'Data Booster' pack to my account for the current week.,Request
Perform a remote factory reset on my modem from the central office.,Request
Update the primary login email for my provider's mobile application.,Request
Send a Wi-Fi expert to optimize the signal coverage in my home.,Request
Provide a formal VAT receipt for my last three monthly payments.,Request
Activate the 'Catch-Up' feature for my current Set-Top Box immediately.,Request
Install a lightning surge protector for the ONT at my residence.,Request
Adjust my billing cycle from the 1st to the 15th of each month.,Request
Provide a longer fiber drop cable for my customized indoor setup.,Request
Set up a separate VLAN for my home office to ensure data isolation.,Request
Swap my standard TV box for the newer 4K-enabled hardware.,Request
Replace the damaged LAN cable in my gaming room with a new one.,Request
Elevate my support ticket to priority status for my business account.,Request
Correct my personal records to reflect the new identity card information.,Request
Enable the 'Family Safe' filter to block all adult content on this line.,Request
Check the stability of the fiber pole located near my front gate.,Request
Extend my payment deadline by five days due to a bank system error.,Request
Help me configure the Port Forwarding settings for my PlayStation 5.,Request
Provide a backup modem unit for my work-from-home setup.,Request
Schedule the technician for tomorrow morning before 10 AM.,Request
Change the Wi-Fi frequency broadcast from 2.4GHz to 5GHz.,Request
Enroll my line in the 'Night Owl' unlimited data promotion.,Request
Perform a full technical audit of my home office network performance.,Request
Fix the messy cable casing inside my living room as soon as possible.,Request
Migrate my connection from the old copper line to the fiber optic network.,Request
Bind my laptop's MAC address for enhanced network-level security.,Request
Generate a temporary access password for the city-wide public hotspots.,Request
Assist with the integration of my smart home and IoT devices.,Request
Issue an official letter for a drilling permit at my apartment building.,Request
Restrict mature channels on my Set-Top Box using the 'Kids Mode'.,Request
Replace my TV remote control that has stopped functioning.,Request
Calibrate the fiber signal strength in my basement for better stability.,Request
Issue a credit note for the overcharged amount on the previous invoice.,Request
Set up a VPN tunnel directly on the provided ISP gateway.,Request
Change the installation location of the modem within my apartment.,Request
Inspect the outdoor distribution box for any physical damage.,Request
Reset my PPPoE credentials and provide the new login details.,Request
Optimize my account for video conferencing applications like Zoom.,Request
Provide a printed technical manual for the newest Wi-Fi 6 ONT model.,Request
Replace the faulty power supply unit of my modem immediately.,Request
Reset my data usage counter as it was consumed by a system update.,Request
Configure the DNS over HTTPS (DoH) settings on my home gateway.,Request
Issue a speed test certificate for my employer's remote work audit.,Request
Remove the abandoned wiring from the previous service provider.,Request
Translate my billing statement into English for my official records.,Request
Enable 'Safe Browsing' for every device connected to my Wi-Fi.,Request
Check for external electromagnetic interference on my fiber line.,Request
Create a custom guest login page for my home Wi-Fi network.,Request
Modify the billing name displayed on my monthly PDF invoice.,Request
Mount the router on the wall to improve the overall signal range.,Request
Add a 50GB data pack to my line for today's high-usage needs.,Request
Adjust the MTU settings on my modem to improve gaming stability.,Request
Conduct a comprehensive system health check for my fiber connection.,Request
Activate the 'Ultra HD' streaming add-on for my account.,Request
Provide a hard copy of the latest Terms and Conditions agreement.,Request
Bury the exposed fiber optic cable in my front yard for safety.,Request
Is it possible to move my router to the bedroom?,Information
Please move my router to the bedroom this afternoon.,Request
Can I change my Wi-Fi password through the mobile app?,Information
Change my Wi-Fi password to 'Admin123' immediately.,Request
How do I add a premium sports channel to my package?,Information
Add the premium sports channel bundle to my account now.,Request
What is the process for terminating my subscription?,Information
I want to terminate my subscription by the end of this month.,Request
Are there any technicians available for a home visit tomorrow?,Information
Schedule a technician visit for my house tomorrow morning.,Request
Could you explain how to upgrade my speed to 100mbps?,Information
Upgrade my speed to the 100mbps plan starting today.,Request
Is there a fee for relocating the fiber optic cable?,Information
Relocate my fiber optic cable to the study room upstairs.,Request
How can I get a static IP for my home office?,Information
Assign a static IP to my account for my VPN setup.,Request
Can you tell me if my area has 5G coverage?,Information
Activate the 5G boost for my home connection right now.,Request
What documents are needed to change the account owner?,Information
Change the account ownership to my brother's name today.,Request
Is it true that I can get a refund for the outage?,Information
Process a refund for the three days of service outage.,Request
Do you provide Wi-Fi extenders for large houses?,Information
Send two Wi-Fi extenders to my home address via courier.,Request
How do I reset my modem to factory settings?,Information
Reset my modem to factory settings from your end.,Request
Are there any discounts for paying for a full year?,Information
Switch my billing to the annual plan to get the discount.,Request
Can I use my own router instead of the ISP one?,Information
Configure my account so I can use my own private router.,Request
What is the procedure to pause my service temporarily?,Information
Pause my subscription for 30 days while I am on vacation.,Request
Is there a way to block certain websites on my Wi-Fi?,Information
Block all adult content websites on my network level.,Request
How long does it take to activate a new add-on?,Information
Activate the 'Gamer Pro' add-on for my account immediately.,Request
Are there any installation slots open for next Monday?,Information
Book an installation slot for my new house next Monday.,Request
Can I see a detailed report of my daily data usage?,Information
Email me a detailed report of my data usage for last month.,Request
Is it possible to bridge my modem for a mesh system?,Information
Bridge my modem now so I can set up my Google Nest.,Request
What is the cost of replacing a broken remote control?,Information
Replace my broken TV remote and bill it to my account.,Request
Can I get an English version of my billing statement?,Information
Send my monthly billing statement in English from now on.,Request
Is there a loyalty program for 5-year customers?,Information
Apply the 5-year loyalty discount to my current monthly bill.,Request
How do I whitelist a MAC address on my router?,Information
Whitelist this MAC address: AA:BB:CC:11:22:33 for my PC.,Request
What is the specific bandwidth ratio between upload and download for the 100mbps...,Information
Does the fiber optic technology used in this area support symmetrical speeds?,Information
Are there any planned network optimizations that might affect connection stabili...,Information
How does the ISP handle data encryption to ensure secure browsing for home users...,Information
What are the technical specifications of the latest Wi-Fi 6 router provided by t...,Information
Is it possible to track the real-time location of the technician arriving for my...,Information
What is the standard procedure for getting a refund if a payment was deducted tw...,Information
Are there any specific weather conditions that could physically damage the outdo...,Information
How can I find out if my current router firmware is vulnerable to recent securit...,Information
What is the difference in latency when using your DNS versus a public one like C...,Information
Is there a loyalty tier for customers who have maintained an active account for ...,Information
What are the power requirements for the ONT to ensure it doesn't short circuit d...,Information
How is the Fair Usage Policy (FUP) calculated if I have multiple add-on data pac...,Information
Are there any legal restrictions on hosting a private Minecraft server on a home...,Information
What are the bank administrative codes required for setting up an auto-payment v...,Information
Is there a way to verify if a neighbor is tapping into my Wi-Fi signal without p...,Information
What is the maximum range of the 5GHz signal in a house with thick brick walls?,Information
How do I differentiate between a localized modem failure and a broader regional ...,Information
Are the Set-Top Boxes provided for TV services compatible with 4K HDR10 technolo...,Information
What documents are officially required to move a subscription from a residential...,Information
Is there a specific period during the night when the system automatically resets...,Information
How can I check the status of my area's fiber coverage expansion through the off...,Information
What is the standard response time for a critical technical ticket in a suburban...,Information
Are there any built-in parental control features that work directly at the hardw...,Information
How does the ISP prioritize traffic for video conferencing apps like Zoom and Mi...,Information
What is the replacement cost for an ONT device if it is damaged by a lightning s...,Information
Is it possible to access the router's internal logs to see connection drop histo...,Information
What are the terms regarding the return of equipment after a contract has natura...,Information
How can I confirm if my payment made via a third-party kiosk has been reconciled...,Information
Are there any specific frequency bands that might interfere with the router's 2....,Information
What is the process for a foreigner to register for an internet account using a ...,Information
Is there a mobile app feature that allows me to reboot the router from a remote ...,Information
How do I know if the slow speed is caused by a faulty LAN cable or the ISP's net...,Information
What are the benefits of the 'Fixed IP' service compared to the standard dynamic...,Information
Are there any promotional bundles that combine home fiber with mobile data plans...,Information
What is the exact deadline for bill payments before a late fee is automatically ...,Information
How can I find out the results of the signal survey conducted in my apartment bu...,Information
Is there a technical manual available for the provided STB to understand error c...,Information
What happens to the internet speed if the fiber cable is bent at a sharp 90-degr...,Information
How do I verify the authenticity of an email claiming to be from the billing dep...,Information
Is there a maximum number of devices that can be connected before the IP pool is...,Information
What are the criteria for receiving a free hardware upgrade to the latest model?,Information
How is the prorated bill calculated if I join during a leap year or a 31-day mon...,Information
Are there any specific antivirus software brands that are recommended for use wi...,Information
What is the estimated uptime percentage guaranteed for the premium residential p...,Information
How do I check if my account is eligible for a temporary speed boost during the ...,Information
Is the fiber optic cable used in this district fire-resistant or heat-protected?,Information
What are the security protocols used for the provider's public Wi-Fi hotspots?,Information
How can I see a list of all devices that have historically connected to my home ...,Information
Is there a dedicated support line for expats who require assistance in English?,Information
